image,BLEU-1,BLEU-2,prediction
3692836015_d11180727b.jpg,0.12500000000000003,0.04225771273642583,the ultimate best kind of fun. ✨ #chill
3692892751_f6574e2700.jpg,0.12500000000000003,0.04225771273642583,the ultimate best kind of fun. 😌 #chill
3693297007_94512e861e.jpg,0.25,0.059761430466719695,the ultimate moment of pure joy. ✨ #dance
369360998_ba56fb436f.jpg,0.5,0.3779644730092272,the ultimate best kind of fun. ✨ #hiking
3693961165_9d6c333d5b.jpg,0.3333333333333333,0.08164965809277261,the ultimate ultimate dog 🐾 #doglife
3694064560_467683205b.jpg,0.25,0.059761430466719695,the ultimate best kind of fun. 😌 #chill
3694071771_ce760db4c7.jpg,0.10976232721880529,0.03880684294761699,the ultimate bike 🚲 #bmx
3694093650_547259731e.jpg,0.25,0.047673129462279626,the ultimate best way to end the day. 😌 #citylife #makingmemories #makingmemories
3694219419_a7a83d4886.jpg,0.2857142857142857,0.06900655593423542,the ultimate ultimate best joy ✨ #kidlife
3694555931_7807db2fb4.jpg,0.5,0.26726124191242434,the ultimate best kind of fun. 💦 #kidlife
3694991841_141804da1f.jpg,0.375,0.07319250547114,the ultimate best kind of fun. 😌 #kidlife
3695064885_a6922f06b2.jpg,0.13406400920712788,0.04739878501170794,the ultimate field 🐾 #doglife
3695517194_2a6b604cb2.jpg,0.6549846024623855,0.5178107940302672,the ultimate moment ⚽ #soccer
3695949492_27ca3892fd.jpg,0.3333333333333333,0.08164965809277261,the ultimate water water 🌊 #doglife
3696246123_99d4d10140.jpg,0.45454545454545453,0.21320071635561047,the ultimate dog is a whole lot of fun. 🐾 #doglife
3696698390_989f1488e7.jpg,0.28216057496353797,0.06911494341909905,the ultimate ultimate bike 🚲 #bmx
3697003897_d8ac13be9a.jpg,0.35826565528689464,0.2265870956238665,the ultimate skate jump. 🛹 #skatelife
3697153626_90fb177731.jpg,0.375,0.07319250547114,the ultimate best kind of fun. ✨ #kidlife
3697359692_8a5cdbe4fe.jpg,0.26666666666666666,0.04364357804719848,the best kind of memories are made with good people. 😌 #kidlife #makingmemories #forever #builtdifferent
3697378565_7060d9281a.jpg,0.16666666666666669,0.05773502691896258,the ultimate moment 💯 #citylife #citylife
3697379772_40d831392b.jpg,0.11111111111111109,0.02067245576486808,the ultimate ultimate grind check of the moment of the moment of the moment of the moment of the moment of the moment of the moment of
3697456750_460aea7252.jpg,0.3274923012311928,0.08187307530779821,the ultimate moment ⚽ #kidlife
3697675767_97796334e4.jpg,0.4444444444444444,0.23570226039551587,the ultimate thrill of the weekend like... 🏍️ #motocross
369802520_9825f2cd84.jpg,0.49713295378576094,0.2358108650835347,the ultimate dog is a whole vibe. 🐾 #doglife
3698607223_22fe09763a.jpg,0.2857142857142857,0.06900655593423542,the ultimate ultimate snow day. 😌 #rockclimbing
3698944019_825ef54f2f.jpg,0.5,0.2357022603955158,the ultimate best joy are a whole vibe. 😂 #kidlife
3699318394_6193f2c8e0.jpg,0.375,0.07319250547114,the ultimate best kind of fun. ✨ #kidlife
3699522388_2333f01f40.jpg,0.2857142857142857,0.06900655593423542,the ultimate ultimate water adrenaline. 🤸‍♂️ #kidlife
3699763582_f28c5130dd.jpg,0.49123845184678916,0.3170930571698881,the ultimate view 🧗 #rockclimbing
3700004668_99c3e3f55b.jpg,0.16666666666666669,0.05773502691896258,the ultimate water water 💦 #waterplay
3700322513_50f0d45bfa.jpg,0.375,0.07319250547114,the ultimate best kind of fun. 😌 #adventure
3700346840_bb80d622f7.jpg,0.3274923012311928,0.08187307530779821,the ultimate moment 🛶 #rockclimbing
3700554247_9824ae6f3a.jpg,0.16666666666666669,0.05773502691896258,the ultimate ultimate edge. 🛶 #kayaking
3701226275_952547ba0f.jpg,0.375,0.07319250547114,the ultimate best kind of fun. 😌 #chill
3701249979_8bc757e171.jpg,0.3274923012311928,0.08187307530779821,the ultimate moment 💦 #kidlife
3701291852_373ea46bb6.jpg,0.16666666666666669,0.05773502691896258,the ultimate water water 🌊 #beachlife
3701509233_a2275a4e57.jpg,0.16666666666666669,0.05773502691896258,the ultimate water water 🌊 #adventure
3701544312_b2e4e9813d.jpg,0.375,0.07319250547114,the ultimate best kind of fun. ✨ #kidlife
3701878677_8f2c26227b.jpg,0.375,0.07319250547114,the ultimate best kind of fun. 😌 #rockclimbing
